"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Gestion des utilisateurs","0","Service UserService","1","0","Suppression utilisateur","0"
"0","Gestion des utilisateurs","0","Service UserService","1","0","Validation des données utilisateur","0"
"0","Gestion des utilisateurs","0","Service UserService","1","0","Création d'un utilisateur","0"
"0","Gestion des utilisateurs","0","Service UserService","2","0","Consultation utilisateur","0"
